order_id,customer_id,order_ts,status,currency,gross_amount,discount_amount,tax_amount,source_updated_at
O-1011,C-009,2026-07-02 08:12:09,PLACED,USD,88.40,0.00,7.29,2026-07-02 08:13:01
O-1012,C-010,2026-07-02 08:55:31,PLACED,USD,134.20,10.00,10.25,2026-07-02 08:56:18
O-1013,C-002,2026-07-02 09:27:44,SHIPPED,USD,63.75,0.00,5.26,2026-07-02 10:15:27
O-1014,C-011,2026-07-02 10:39:03,PLACED,USD,410.00,25.00,31.76,2026-07-02 10:40:02
O-1015,C-012,2026-07-02 11:21:50,CANCELLED,USD,29.99,0.00,0.00,2026-07-02 11:35:12
O-1016,C-013,2026-07-02 12:08:16,PLACED,USD,76.25,6.25,5.78,2026-07-02 12:09:01
O-1017,C-014,2026-07-02 13:46:59,PLACED,USD,199.99,0.00,16.50,2026-07-02 13:47:33
O-1018,C-004,2026-07-02 14:11:20,RETURNED,USD,18.99,0.00,1.57,2026-07-02 15:02:05
O-1019,C-015,2026-07-02 15:33:42,PLACED,USD,245.80,20.80,18.56,2026-07-02 15:34:10
O-1020,C-016,2026-07-02 16:59:07,PLACED,USD,57.60,0.00,4.75,2026-07-02 16:59:49
