order_id,customer_id,order_ts,status,currency,gross_amount,discount_amount,tax_amount,source_updated_at
O-1001,C-001,2026-07-01 09:14:22,PLACED,USD,120.00,0.00,9.90,2026-07-01 09:15:01
O-1002,C-002,2026-07-01 09:41:05,PLACED,USD,75.50,5.50,5.78,2026-07-01 09:42:10
O-1003,C-003,2026-07-01 10:03:48,CANCELLED,USD,42.00,0.00,0.00,2026-07-01 10:20:14
O-1004,C-001,2026-07-01 10:25:37,PLACED,USD,310.25,10.25,24.75,2026-07-01 10:26:09
O-1005,C-004,2026-07-01 11:07:19,SHIPPED,USD,18.99,0.00,1.57,2026-07-01 12:05:43
O-1006,C-005,2026-07-01 12:33:44,PLACED,USD,220.00,20.00,16.50,2026-07-01 12:34:12
O-1007,C-006,2026-07-01 13:18:02,PLACED,USD,64.75,0.00,5.34,2026-07-01 13:18:47
O-1008,C-003,2026-07-01 14:56:29,RETURNED,USD,95.00,0.00,7.84,2026-07-01 15:40:03
O-1009,C-007,2026-07-01 16:02:11,PLACED,USD,145.30,15.30,10.73,2026-07-01 16:02:58
O-1010,C-008,2026-07-01 17:44:36,PLACED,USD,52.40,0.00,4.32,2026-07-01 17:45:19
